Isolate_name_long	"Isolate_name_short (No duplicates, must be in caps if unpub)"	virus	Accession	Variant	Date y-m-d	Country	State	Authors	Pub title	Host	lat	long
AUS/ACT/GUN1-52/2009 	GUN1-52	RHDV	KX357668.1 	GI.1c	13/03/2009	AUS	ACT	Mahar et al	Benign Rabbit Caliciviruses Exhibit Similar Evolutionary Dynamics to their Virulent Relatives	Wild	-35.218993	149.123791
AUS/ACT/Gungahlin/1998	Gungahlin_1998	RHDV	KJ606958.1 	GI.1c	1/09/1998	AUS	ACT	Elsworth et al	Increased virulence of Rabbit Haemorrhagic Disease Virus associated with genetic resistance in wild Australian rabbits (Oryctolagus cuniculus)	Wild	-35.220625	149.122971
AUS/ACT/HACK-1/2015 	HACK-1	RHDV	MF421583.1 	GI.1bP_GI.2	26/10/2015	AUS	ACT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.248011	149.163999
AUS/ACT/HACK-3/2017	HACK-3	RHDV	unpub	GI.4eP_GI.2	15/04/2017	AUS	ACT	Hall et al	unpub	Wild	-35.248011	149.163999
AUS/ACT/HAR-1/2015 	HAR-1	RHDV	MF421636.1 	GI.1bP_GI.2	9/12/2015	AUS	ACT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-35.197815	149.156062
AUS/ACT/MAJ-1/2016 	MAJ-1	RHDV	MF421587.1 	GI.1bP_GI.2	5/08/2016	AUS	ACT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.22474	149.17025
AUS/ACT/MAJ-3/2017	MAJ-3	RHDV	unpub	GI.4eP_GI.2	1/09/2017	AUS	ACT	Hall et al	unpub	Wild	-35.285348	149.2022
AUS/ACT/MAJ-4/2018 	MAJ-4	RHDV	unpub	GI.4eP_GI.2	11/04/2018	AUS	ACT	Hall et al	unpub	Hare	-35.22618	149.16954
AUS/ACT/MF-158/2017	MF-158	RHDV	unpub	GI.1a	9/03/2017	AUS	ACT	Hall et al	unpub	Wild	-35.166211	149.164162
AUS/ACT/MFBM-2/2015 	MFBM-2	RHDV	MF421585.1 	GI.1bP_GI.2	19/12/2015	AUS	ACT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.160389	149.147089
AUS/ACT/MtPt-2/2010 	MtPt-2	RHDV	KX357670.1 	GI.1c	1/02/2010	AUS	ACT	Mahar et al	Benign Rabbit Caliciviruses Exhibit Similar Evolutionary Dynamics to their Virulent Relatives	Wild	-35.267429	149.061985
AUS/ACT/MtPt-4/2010 	MtPt-4	RHDV	KX357671.1 	GI.1c	1/02/2010	AUS	ACT	Mahar et al	Benign Rabbit Caliciviruses Exhibit Similar Evolutionary Dynamics to their Virulent Relatives	Wild	-35.267429	149.061985
AUS/ACT/NIC-2/2018	NIC-2	RHDV	unpub	GI.4eP_GI.2	31/03/2018	AUS	ACT	Hall et al	unpub	Wild	-35.192662	149.103813
AUS/ACT/Parkwood/1998	Parkwood_1998	RHDV	KJ606959.1 	GI.1c	1/09/1998	AUS	ACT	Elsworth et al	Increased virulence of Rabbit Haemorrhagic Disease Virus associated with genetic resistance in wild Australian rabbits (Oryctolagus cuniculus)	Wild	-35.205413	148.983397
AUS/ACT/PI-1/2009 	PI-1	RHDV	KX357672.1 	GI.1c	8/06/2009	AUS	ACT	Mahar et al	Benign Rabbit Caliciviruses Exhibit Similar Evolutionary Dynamics to their Virulent Relatives	Wild	-35.430807	149.066582
AUS/ACT/THE-1/2016 	THE-1	RHDV	MF421637.1 	GI.1bP_GI.2	6/01/2016	AUS	ACT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-35.430807	149.066582
AUS/ACT/TUG-1/2015 	TUG-1	RHDV	MF421581.1 	GI.1bP_GI.2	16/10/2015	AUS	ACT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.450455	149.114153
AUS/ACT/TUG-3/2015 	TUG-3	RHDV	MF421582.1 	GI.1bP_GI.2	16/10/2015	AUS	ACT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.431739	149.109009
AUS/ACT/WC-2/2016 	WC-2	RHDV	MF421586.1 	GI.1bP_GI.2	29/01/2016	AUS	ACT	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.431739	149.109009
AUS/ACT/WES-3/2018	WES-3	RHDV	unpub	GI.4eP_GI.2	1/05/2018	AUS	ACT	Hall et al	unpub	Wild	-35.326727	149.048463
AUS/NSW/ANN-1/2014	ANN-1	RHDV	KY628306.1 	GI.4eP_GI.1a	1/04/2014	AUS	NSW	Mahar et al	Detection and Circulation of a Novel Rabbit Hemorrhagic Diseae Virus in Australia.	Domestic	-33.656674	150.944423
AUS/NSW/BEGA-1/2015 	BEGA-1	RHDV	MF421649.1 	GI.1bP_GI.2	30/10/2015	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-36.515695	149.781009
AUS/NSW/BEGA-2/2015 	BEGA-2	RHDV	MF421650.1 	GI.1bP_GI.2	30/10/2015	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-36.515695	149.781009
AUS/NSW/BER-1/2013	BER-1	RHDV	KY628307.1 	GI.1c	1/12/2013	AUS	NSW	Mahar et al	Detection and Circulation of a Novel Rabbit Hemorrhagic Diseae Virus in Australia.	Domestic	-33.626918	151.146313
AUS/NSW/BER-10/2014	BER-10	RHDV	KY628308.1 	GI.4eP_GI.1a	1/01/2014	AUS	NSW	Mahar et al	Detection and Circulation of a Novel Rabbit Hemorrhagic Diseae Virus in Australia.	Domestic	-33.626918	151.146313
AUS/NSW/BER-2/2013	BER-2	RHDV	KY628309.1 	GI.4eP_GI.1a	1/12/2013	AUS	NSW	Mahar et al	Detection and Circulation of a Novel Rabbit Hemorrhagic Diseae Virus in Australia.	Domestic	-33.626918	151.146313
AUS/NSW/BER-3/2014	BER-3	RHDV	KY628310.1 	GI.4eP_GI.1a	1/01/2014	AUS	NSW	Mahar et al	Detection and Circulation of a Novel Rabbit Hemorrhagic Diseae Virus in Australia.	Domestic	-33.626918	151.146313
AUS/NSW/BER-4/2014	BER-4	RHDV	KY628311.1 	GI.4eP_GI.1a	1/01/2014	AUS	NSW	Mahar et al	Detection and Circulation of a Novel Rabbit Hemorrhagic Diseae Virus in Australia.	Domestic	-33.626918	151.146313
AUS/NSW/BER-8/2014	BER-8	RHDV	KY628312.1 	GI.4eP_GI.1a	1/01/2014	AUS	NSW	Mahar et al	Detection and Circulation of a Novel Rabbit Hemorrhagic Diseae Virus in Australia.	Domestic	-33.626918	151.146313
AUS/NSW/BERK-1/2016 	BERK-1	RHDV	MF421653.1 	GI.1bP_GI.2	6/01/2016	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-33.688514	150.783032
AUS/NSW/BG-14/2017	BG-14	RHDV	unpub	GI.4eP_GI.2	22/04/2017	AUS	NSW	Hall et al	unpub	Wild	-34.967403	149.033856
AUS/NSW/BG-2/2015	BG-2	RHDV	KT280058.1 	GI.1c	16/05/2015	AUS	NSW	Hall et al	"Emerging Rabbit Hemorrhagic Disease Virus 2 (RHDVb), Australia"	Wild	-34.974718	149.054797
AUS/NSW/BG-23/2017	BG-23	RHDV	unpub	GI.4eP_GI.2	23/10/2017	AUS	NSW	Hall et al	unpub	Wild	-34.967403	149.033856
AUS/NSW/BG-25/2017	BG-25	RHDV	unpub	GI.4eP_GI.2	28/10/2017	AUS	NSW	Hall et al	unpub	Hare	-34.967403	149.033856
AUS/NSW/BG-29/2017	BG-29	RHDV	unpub	GI.4eP_GI.2	13/11/2017	AUS	NSW	Hall et al	unpub	Wild	-34.967403	149.033856
AUS/NSW/BG-32/2018	BG-32	RHDV	unpub	GI.4eP_GI.2	5/06/2018	AUS	NSW	Hall et al	unpub	Wild	-34.967403	149.033856
AUS/NSW/BG-5/2016 	BG-5	RHDV	MF421592.1 	GI.1bP_GI.2	7/08/2016	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-34.974718	149.054797
AUS/NSW/BG-6/2016 	BG-6	RHDV	MF421594.1 	GI.1bP_GI.2	11/08/2016	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-34.974718	149.054797
AUS/NSW/BG-7/2016 	BG-7	RHDV	MF421596.1 	GI.1bP_GI.2	13/08/2016	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-34.974718	149.054797
AUS/NSW/BIB-1/2016 	BIB-1	RHDV	MF421588.1 	GI.1bP_GI.2	20/01/2016	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-36.798819	149.359904
AUS/NSW/BLA-1/2014	BLA-1	RHDV	KY628313.1 	GI.4eP_GI.1a	1/07/2014	AUS	NSW	Mahar et al	Detection and Circulation of a Novel Rabbit Hemorrhagic Diseae Virus in Australia.	Domestic	-33.760737	150.898177
AUS/NSW/BlueGums/2014 	BG-1	RHDV	KT006732.1 	GI.1c	29/03/2014	AUS	NSW	Eden et al	Comparative Phylodynamics of Rabbit Hemorrhagic Disease Virus in Australia and New Zealand	Wild	-34.974718	149.054797
AUS/NSW/BOC-1/2015 	BOC-1	RHDV	MF421641.1 	GI.1bP_GI.2	22/09/2015	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-32.802176	149.742544
AUS/NSW/BRH-1/2016 	BRH-1	RHDV	MF421593.1 	GI.1bP_GI.2	10/08/2016	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-32.17031	141.53912
AUS/NSW/BRO-1/2015 	BRO-1	RHDV	MF421647.1 	GI.1bP_GI.2	28/10/2015	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-36.506525	149.775822
AUS/NSW/BRO-2/2015 	BRO-2	RHDV	MF421648.1 	GI.1bP_GI.2	28/10/2015	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-36.513534	149.770511
AUS/NSW/BYW-1/2017	BYW-1	RHDV	unpub	GI.4eP_GI.2	14/04/2017	AUS	NSW	Hall et al	unpub	Unknown	-35.1926	149.373028
AUS/NSW/CAD-1/2017	CAD-1	RHDV	unpub	GI.4eP_GI.2	28/04/2017	AUS	NSW	Hall et al	unpub	Domestic	-34.05467	150.695768
AUS/NSW/CAG-3/2017	CAG-3	RHDV	unpub	GI.4eP_GI.2	2/10/2017	AUS	NSW	Hall et al	unpub	Wild	-33.36783329	148.8823713
AUS/NSW/CAR-2/2016	CAR-2	RHDV	unpub	GI.4eP_GI.2	7/10/2016	AUS	NSW	Hall et al	unpub	Wild	-35.392312	149.38121
AUS/NSW/CAR-3/2016 	CAR-3	RHDV	MF598302.1 	GI.4eP_GI.2	10/10/2016	AUS	NSW	Hall et al	A strain-specific multiplex RT-PCR for Australian rabbit haemorrhagic disease viruses uncovers a new recombinant virus variant in rabbits and hares.	Wild	-35.392312	149.38121
AUS/NSW/CAR-4/2016 	CAR-4	RHDV	MF421658.1 	GI.1bP_GI.2	27/10/2016	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.369875	149.334068
AUS/NSW/CAR-5/2016	CAR-5	RHDV	unpub	GI.1bP_GI.2	8/12/2016	AUS	NSW	Hall et al	unpub	Wild	-35.366666	149.327008
AUS/NSW/CAR-8/2017	CAR-8	RHDV	unpub	GI.4eP_GI.2	17/03/2017	AUS	NSW	Hall et al	unpub	Wild	-35.370707	149.33673
AUS/NSW/CAS-1/2017	CAS-1	RHDV	unpub	GI.1bP_GI.2	2/05/2017	AUS	NSW	Hall et al	unpub	Unknown	-28.586905	152.794719
AUS/NSW/CNB-1/2017	CNB-1	RHDV	unpub	GI.1a	11/04/2017	AUS	NSW	Hall et al	unpub	Unknown	-30.37	148.28
AUS/NSW/COB-1/2016 	COB-1	RHDV	MF421655.1 	GI.1bP_GI.2	2/03/2016	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Unknown	-34.016975	150.685923
AUS/NSW/COW-1/2015 	COW-1	RHDV	MF421642.1 	GI.1bP_GI.2	30/09/2015	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Unknown	-33.845408	148.714743
AUS/NSW/DRK-2/2017	DRK-2	RHDV	unpub	GI.4eP_GI.2	24/07/2017	AUS	NSW	Hall et al	unpub	Unknown	-33.431441	151.259766
AUS/NSW/EOR-1/2015 	EOR-1	RHDV	MF421645.1 	GI.1bP_GI.2	21/10/2015	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-33.263022	149.133163
AUS/NSW/EXE-1/2017	EXE-1	RHDV	unpub	GI.4eP_GI.2	11/09/2017	AUS	NSW	Hall et al	unpub	Unknown	-34.617052	150.297797
AUS/NSW/EXE-2/2017	EXE-2	RHDV	unpub	GI.4eP_GI.1a	5/10/2017	AUS	NSW	Hall et al	unpub	Unknown	-34.615639	150.298183
AUS/NSW/EXE-3/2017	EXE-3	RHDV	unpub	GI.4eP_GI.2	2/11/2017	AUS	NSW	Hall et al	unpub	Unknown	-34.616813	150.297968
AUS/NSW/EXE-7/2018	EXE-7	RHDV	unpub	GI.4eP_GI.2	4/03/2018	AUS	NSW	Hall et al	unpub	Unknown	-34.6231	150.28857
AUS/NSW/FC-1/2015 	FC-1	RHDV	MF421651.1 	GI.1bP_GI.2	12/11/2015	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.426258	149.500872
AUS/NSW/GIR-1/2014	GIR-1	RHDV	KY628314.1 	GI.4eP_GI.1a	1/07/2014	AUS	NSW	Mahar et al	Detection and Circulation of a Novel Rabbit Hemorrhagic Diseae Virus in Australia.	Wild	-32.473891	152.057337
AUS/NSW/GIR-2/2014	GIR-2	RHDV	KY628315.1 	GI.4eP_GI.1a	1/07/2014	AUS	NSW	Mahar et al	Detection and Circulation of a Novel Rabbit Hemorrhagic Diseae Virus in Australia.	Wild	-32.473891	152.057337
AUS/NSW/GLO-3/2017	GLO-3	RHDV	unpub	GI.1bP_GI.2	6/01/2017	AUS	NSW	Hall et al	unpub	Domestic	-32.004194	151.961987
AUS/NSW/GOU-1/2015 	GOU-1	RHDV	MF421652.1 	GI.1bP_GI.2	16/12/2015	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-34.742136	149.726477
AUS/NSW/Grafton/2013 	Grafton_2013	RHDV	KT006747.1 	GI.1c	1/06/2013	AUS	NSW	Eden et al	Comparative Phylodynamics of Rabbit Hemorrhagic Disease Virus in Australia and New Zealand	Wild	-29.681171	152.93628
AUS/NSW/HBY-1/2017	HBY-1	RHDV	unpub	GI.1a	27/04/2017	AUS	NSW	Hall et al	unpub	Unknown	-33.621203	151.044601
AUS/NSW/HIL-1/2015 	HIL-1	RHDV	MF421646.1 	GI.1bP_GI.2	22/10/2015	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Unknown	-34.354142	150.483997
AUS/NSW/HRP-1/2017	HRP-1	RHDV	unpub	GI.4eP_GI.2	29/05/2017	AUS	NSW	Hall et al	unpub	Domestic	-34.020841	150.73402
AUS/NSW/KUL-1/2016 	KUL-1	RHDV	MF421657.1 	GI.1bP_GI.2	3/06/2016	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-33.233379	151.214867
AUS/NSW/KYE-1/2016 	KYE-1	RHDV	MF421590.1 	GI.1bP_GI.2	23/05/2016	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.396012	147.604317
AUS/NSW/KYE-2/2016 	KYE-2	RHDV	MF421591.1 	GI.1bP_GI.2	23/05/2016	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Wild	-35.396012	147.604317
AUS/NSW/KYO-1/2014	KYO-1	RHDV	KY628316.1 	GI.4eP_GI.1a	1/01/2014	AUS	NSW	Mahar et al	Detection and Circulation of a Novel Rabbit Hemorrhagic Diseae Virus in Australia.	Domestic	-28.620239	153.000017
AUS/NSW/M2/2007 	M2	RHDV	KX357677.1 	GI.1c	12/08/2007	AUS	NSW	Mahar et al	Benign Rabbit Caliciviruses Exhibit Similar Evolutionary Dynamics to their Virulent Relatives	Wild	-31.640135	149.629019
AUS/NSW/M9/2007 	M9	RHDV	KX357678.1 	GI.1c	10/03/2007	AUS	NSW	Mahar et al	Benign Rabbit Caliciviruses Exhibit Similar Evolutionary Dynamics to their Virulent Relatives	Wild	-31.640135	149.629019
AUS/NSW/MCH-1/2017	MCH-1	RHDV	unpub	GI.4eP_GI.2	1/01/2017	AUS	NSW	Hall et al	unpub	Unknown	-35.679854	149.158802
AUS/NSW/MCH-3/2017	MCH-3	RHDV	unpub	GI.4eP_GI.2	13/04/2017	AUS	NSW	Hall et al	unpub	Wild	-35.688279	149.157816
AUS/NSW/MCH-4/2017	MCH-4	RHDV	unpub	GI.4eP_GI.2	17/05/2017	AUS	NSW	Hall et al	unpub	Wild	-35.724246	149.149102
AUS/NSW/MCH-5/2018	MCH-5	RHDV	unpub	GI.4eP_GI.2	4/04/2018	AUS	NSW	Hall et al	unpub	Wild	-35.788028	149.153583
AUS/NSW/MER-1/2015 	MER-1	RHDV	MF421640.1 	GI.1bP_GI.2	9/09/2015	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-32.10198	150.332366
AUS/NSW/MND-1/2017	MND-1	RHDV	unpub	GI.4eP_GI.2	10/04/2017	AUS	NSW	Hall et al	unpub	Wild	-33.676292	149.098452
AUS/NSW/MOL-1/2016 	MOL-1	RHDV	MF421656.1 	GI.1bP_GI.2	22/03/2016	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Unknown	-33.089215	148.854795
AUS/NSW/MUR-6/2017	MUR-6	RHDV	unpub	GI.4eP_GI.2	25/06/2017	AUS	NSW	Hall et al	unpub	Hare	-34.908614	149.028122
AUS/NSW/NHD-1/2017	NHD-1	RHDV	unpub	GI.1bP_GI.2	7/08/2017	AUS	NSW	Hall et al	unpub	Unknown	-33.306469	149.004667
AUS/NSW/NKB-1/2017	NKB-1	RHDV	unpub	GI.1bP_GI.2	25/11/2017	AUS	NSW	Hall et al	unpub	Domestic	-33.699763	150.314372
AUS/NSW/NSB-1/2017	NSB-1	RHDV	unpub	GI.1bP_GI.2	29/09/2017	AUS	NSW	Hall et al	unpub	Unknown	-32.713341	152.163168
AUS/NSW/OAK-1/2015	OAK-1	RHDV	KY628317.1 	GI.4eP_GI.1a	1/02/2015	AUS	NSW	Mahar et al	Detection and Circulation of a Novel Rabbit Hemorrhagic Diseae Virus in Australia.	Domestic	-34.079062	150.568587
AUS/NSW/ORAN-1/2015 	ORAN-1	RHDV	MF421643.1 	GI.1bP_GI.2	15/10/2015	AUS	NSW	Mahar et al	Rabbit haemorrhagic disease virus 2 (GI.2) is replacing endemic strains of RHDV in the Australian landscape within 18 months of its arrival.	Domestic	-33.269911	149.101577
AUS/NSW/ORAN-2/2016	ORAN-2	RHDV	unpub	GI.1bP_GI.2	3/11/2016	AUS	NSW	Hall et al	unpub	Wild	-33.297965	149.081941
AUS/NSW/ORAN-6/2017	ORAN-6	RHDV	unpub	GI.1bP_GI.2	10/04/2017	AUS	NSW	Hall et al	unpub	Unknown	-33.222686	149.097176
AUS/NSW/ORAN-7/2017	ORAN-7	RHDV	unpub	GI.1bP_GI.2	5/06/2017	AUS	NSW	Hall et al	unpub	Unknown	-33.364012	149.118848
AUS/NSW/OUR-1/2014	OUR-1	RHDV	KY628318.1 	GI.1c	1/06/2014	AUS	NSW	Mahar et al	Detection and Circulation of a Novel Rabbit Hemorrhagic Diseae Virus in Australia.	Wild	-33.308277	151.345337
AUS/NSW/OUR-2/2014	OUR-2	RHDV	KY628319.1 	GI.1c	1/06/2014	AUS	NSW	Mahar et al	Detection and Circulation of a Novel Rabbit Hemorrhagic Diseae Virus in Australia.	Wild	-33.308277	151.345337
